sample_id	cluster_id	size	mean	std
PyClone_sim	0	1	0.39327044182357584	0.10126110698417205
PyClone_sim	1	1	0.2604991631071607	0.08832730062592307
PyClone_sim	2	1	0.22045121015464691	0.0870554151673441
PyClone_sim	3	1	0.20002266793490361	0.08844495460591288
PyClone_sim	4	1	0.3430646510235063	0.09549304437402578
PyClone_sim	5	1	0.6977012338096097	0.21181330856799888
PyClone_sim	6	1	0.5831748539271533	0.29472857837771244
PyClone_sim	7	1	0.6491931497940227	0.2646251738630384
PyClone_sim	8	1	0.3083488709905697	0.1617986621761541
PyClone_sim	9	1	0.13795700629727467	0.06951299364197314
PyClone_sim	10	4	0.9832271858098782	0.01877502072997313
PyClone_sim	11	1	0.5762076829596051	0.2620963983565281
PyClone_sim	12	1	0.6943651032845586	0.2295243601080591
PyClone_sim	13	1	0.7106737888019938	0.21396170836014278
PyClone_sim	14	1	0.6638758514528984	0.2055005145592184
PyClone_sim	15	1	0.5836453939159714	0.24696037229632592
PyClone_sim	16	1	0.5986074730309564	0.23593094623112648
PyClone_sim	17	1	0.7221522761270336	0.10525667201671293
PyClone_sim	18	1	0.736264572146678	0.1014922824457716
PyClone_sim	19	1	0.5770004646873798	0.2419534580467625
PyClone_sim	20	1	0.763295996903771	0.0706586045684348
PyClone_sim	21	1	0.14012662752259147	0.06077481423702843
PyClone_sim	22	2	0.10466415392930009	0.04455376848669622
PyClone_sim	23	1	0.620571564025724	0.20249597456474433
PyClone_sim	24	1	0.8065406693544998	0.06501316948505263
PyClone_sim	25	1	0.6938613498972893	0.1773107943644898
PyClone_sim	26	1	0.6888423105898631	0.21968320768056798
PyClone_sim	27	1	0.26992400986254694	0.11615488994601146
PyClone_sim	28	1	0.5130719741339628	0.13415347209973774
PyClone_sim	29	1	0.10197646622883567	0.06490422049984962
PyClone_sim	30	1	0.18120377389798042	0.07622978476627468
PyClone_sim	31	1	0.16895458051596612	0.11534429111125298
PyClone_sim	32	1	0.06899913627563126	0.0583327973183012
PyClone_sim	33	1	0.3030040380801458	0.14160962747433298
PyClone_sim	34	1	0.11083715789684952	0.08443613187690446
PyClone_sim	35	1	0.11961576111814792	0.082767829862046
