sample_id	cluster_id	size	mean	std
PyClone_sim50	0	16	0.16770621980942493	0.013468719723337748
PyClone_sim50	1	1	0.6442158530245259	0.27610818288886485
PyClone_sim50	2	1	0.6570198957962319	0.2515095509079614
PyClone_sim50	3	1	0.24629282836320154	0.08599300047698281
PyClone_sim50	4	1	0.7466090266692335	0.25214422662369934
PyClone_sim50	5	2	0.9490146241402322	0.042374408841545946
PyClone_sim50	6	1	0.722318985150472	0.21889592261326507
PyClone_sim50	7	1	0.5929565204541621	0.06526732372565534
PyClone_sim50	8	1	0.5743153628443909	0.242956496533775
PyClone_sim50	9	1	0.6986661349087914	0.08979508201551689
PyClone_sim50	10	3	0.7165575817019022	0.027561061451146587
PyClone_sim50	11	1	0.7358191406056729	0.2441045283526121
PyClone_sim50	12	1	0.7064852305704414	0.2725720827186363
PyClone_sim50	13	1	0.7917350940746626	0.10231282519712313
PyClone_sim50	14	1	0.6456292764505955	0.07797165311892314
PyClone_sim50	15	1	0.5427909946210522	0.08865988758741297
PyClone_sim50	16	1	0.5048403230305553	0.0889521265703185
PyClone_sim50	17	1	0.5906204884941653	0.08891057827684988
PyClone_sim50	18	1	0.5975712013004714	0.32676646252582037
PyClone_sim50	19	1	0.6071736014794756	0.2225823475723895
PyClone_sim50	20	1	0.28953604031404034	0.1391989010029488
PyClone_sim50	21	1	0.25445089452815695	0.13587658207906744
