sample_id	cluster_id	size	mean	std
inputpyclone_0_7CN	0	81	0.9972995098177284	0.005072331039174929
inputpyclone_0_7CN	1	1	0.6243980367272857	0.1782399696874837
inputpyclone_0_7CN	2	1	0.26117667590758925	0.1320153954026003
inputpyclone_0_7CN	3	6	0.6983905549244732	0.024464418619341528
inputpyclone_0_7CN	4	15	0.8112758097805656	0.01556413199455733
inputpyclone_0_7CN	5	1	0.38501061780204937	0.19977525366754253
inputpyclone_0_7CN	6	1	0.2919210501170349	0.1271240385083197
inputpyclone_0_7CN	7	1	0.28024786231921195	0.12298435443672645
inputpyclone_0_7CN	8	9	0.3683989522394188	0.024249250367411553
inputpyclone_0_7CN	9	1	0.42734778840079646	0.1997416519080511
inputpyclone_0_7CN	10	1	0.367357459167019	0.2385584427050505
inputpyclone_0_7CN	11	1	0.7425791884320595	0.08485096096068204
inputpyclone_0_7CN	12	1	0.2615136900504705	0.17202129400841587
inputpyclone_0_7CN	13	1	0.22994435350182035	0.13517556574797418
inputpyclone_0_7CN	14	1	0.7112272145145228	0.12637927665194448
inputpyclone_0_7CN	15	1	0.8450203746284173	0.08012313656053785
inputpyclone_0_7CN	16	1	0.8243223542683411	0.09572260512361407
inputpyclone_0_7CN	17	1	0.477273567448814	0.14816058341461041
inputpyclone_0_7CN	18	1	0.5653549932033057	0.2634086322564552
inputpyclone_0_7CN	19	1	0.5367986317536535	0.16203681997910904
inputpyclone_0_7CN	20	1	0.8347004336845198	0.09260989899369818
inputpyclone_0_7CN	21	1	0.6262585194717849	0.19767947824353607
inputpyclone_0_7CN	22	1	0.8285793445369157	0.0819933426797279
inputpyclone_0_7CN	23	1	0.5771991501864217	0.0794243271324706
inputpyclone_0_7CN	24	1	0.5359481175477526	0.2481270294074324
inputpyclone_0_7CN	25	1	0.603510281596188	0.17777288895199525
inputpyclone_0_7CN	26	5	0.08817581612223056	0.019690361318451
inputpyclone_0_7CN	27	1	0.27022584065672106	0.1663834672596143
inputpyclone_0_7CN	28	3	0.47373079958286346	0.04258790503236712
inputpyclone_0_7CN	29	1	0.6061838689904905	0.24372806774013125
inputpyclone_0_7CN	30	1	0.8074152227999701	0.10427337511113764
inputpyclone_0_7CN	31	1	0.5910853038195601	0.23110068817682325
inputpyclone_0_7CN	32	1	0.772963642514803	0.12299891463503088
inputpyclone_0_7CN	33	1	0.6803937571833697	0.12942689307963737
inputpyclone_0_7CN	34	1	0.5244126450280495	0.2271307235282999
inputpyclone_0_7CN	35	1	0.5351729578383633	0.20230833630274034
inputpyclone_0_7CN	36	1	0.6857515766324401	0.10619286231439957
inputpyclone_0_7CN	37	1	0.43766125047854115	0.2385154567666616
inputpyclone_0_7CN	38	1	0.5886200969695552	0.1025422978167938
inputpyclone_0_7CN	39	1	0.45081503689030433	0.2170997996703331
inputpyclone_0_7CN	40	1	0.2363890558110079	0.1548863319536649
inputpyclone_0_7CN	41	1	0.552171451698935	0.1944865238117184
inputpyclone_0_7CN	42	1	0.6112623538197508	0.22013493678305482
inputpyclone_0_7CN	43	1	0.6535407464518703	0.0876059435250085
inputpyclone_0_7CN	44	1	0.8360534571925358	0.08200966776955833
inputpyclone_0_7CN	45	1	0.7193669389546331	0.10320406914112919
inputpyclone_0_7CN	46	1	0.744574978147052	0.13569792543308207
inputpyclone_0_7CN	47	1	0.7777361715333997	0.10884673514384179
inputpyclone_0_7CN	48	1	0.5238908198915422	0.24631573469750603
inputpyclone_0_7CN	49	1	0.7086095058172658	0.09416892729155815
inputpyclone_0_7CN	50	1	0.2977285142306348	0.15419103385062552
inputpyclone_0_7CN	51	1	0.36443265123716984	0.1959975287861448
inputpyclone_0_7CN	52	1	0.2071414400353968	0.13867835337074064
inputpyclone_0_7CN	53	1	0.5365439114371972	0.213476640859068
inputpyclone_0_7CN	54	1	0.6908430114731307	0.19657096380327946
inputpyclone_0_7CN	55	1	0.43717968251015227	0.24611763172245685
inputpyclone_0_7CN	56	1	0.7256198925711997	0.13417862773202263
inputpyclone_0_7CN	57	1	0.5776724301003295	0.2008478120345357
inputpyclone_0_7CN	58	1	0.3051369041608979	0.19100861043122347
inputpyclone_0_7CN	59	1	0.5778965405567287	0.2793901237324846
inputpyclone_0_7CN	60	1	0.43868309137562334	0.27087354669232877
inputpyclone_0_7CN	61	1	0.7555664526444428	0.09795963684556017
inputpyclone_0_7CN	62	1	0.5664346910192093	0.08096804424210799
inputpyclone_0_7CN	63	1	0.5301387208651912	0.21112881462283586
inputpyclone_0_7CN	64	1	0.627321544472863	0.105742600125076
inputpyclone_0_7CN	65	1	0.20057242253822585	0.0655743961660331
inputpyclone_0_7CN	66	1	0.7030601416159925	0.1260262832214622
